DTCO,GR,HCAL,RHO
53.41742,44.7916,8.686198,2.432129
54.99836,44.06131,8.683733,1.886179
54.62193,44.91579,8.688663,1.900808
54.45609,45.85405,8.698521,1.921252
53.52649,47.77691,8.698521,1.947456
55.47873,47.03485,8.718237,1.968958
55.75101,47.45672,8.710843,1.984107
54.82895,47.18604,8.713307,1.986015
53.68486,50.2036,8.708379,2.869109
54.15075,50.6779,8.708379,3.748055
52.3432,51.33394,8.703449,4.6288
55.41178,49.83059,8.713307,4.6288
52.50485,48.25373,8.713307,4.6288
54.61228,47.51688,8.703449,4.6288
54.58075,48.98695,8.693591,4.6288
55.00903,50.32533,8.698521,4.283655
56.08377,49.19823,8.668946,3.392361
53.85382,47.5738,8.683733,2.508305
54.51062,48.78097,8.678804,1.968022
54.13132,47.04519,8.673875,1.969455
56.571,45.54385,8.678804,1.955807
55.36561,44.04022,8.683733,1.931626
56.32547,43.97176,8.683733,1.90925
59.23344,43.27428,8.688663,1.8889
58.81797,41.77775,8.698521,1.871021
55.74098,43.44451,8.703449,1.863023
56.01007,44.1567,8.713307,1.880244
54.4537,45.91507,8.703449,1.919188
52.04865,46.81103,8.673875,1.956897
50.49576,44.88181,8.693591,2.85773
51.86649,41.61246,8.668946,3.746275
52.25315,40.43235,8.669767,4.6288
48.66048,43.05926,8.65416,4.6288
47.62561,46.53372,8.659088,4.6288
49.0793,46.46655,8.664017,4.6288
51.09954,46.67748,8.665661,4.6288
54.58789,47.96569,8.673875,4.6288
54.38335,51.28558,8.688663,4.6288
54.3934,50.95703,8.668946,4.6288
53.32253,44.79305,8.64923,4.6288
49.8894,40.48074,8.634443,4.6288
49.92891,38.84415,8.659088,4.582034
49.73713,44.00622,8.659088,3.670918
48.9383,45.99155,8.659088,2.75536
48.56838,46.67147,8.659088,2.186154
50.91675,43.24647,8.664017,2.418208
50.38684,44.00708,8.65416,2.443344
48.22269,45.18411,8.659088,2.20694
46.16442,47.1145,8.64923,2.018276
50.26344,46.28341,8.65416,2.908697
54.21727,48.39717,8.64923,3.761073
53.71741,47.08519,8.65416,4.6288
53.38243,43.86618,8.65416,4.6288
53.27374,34.63839,8.64923,4.6288
53.66943,31.4697,8.644301,4.6288
53.9594,26.94605,8.64923,4.6288
53.80836,28.10906,8.64923,4.6288
54.04888,25.60335,8.65416,4.6288
54.75874,27.07346,8.659088,4.6288
51.8012,27.78491,8.659088,4.6288
53.95518,30.61369,8.659088,4.6288
52.34298,33.77016,8.659088,4.6288
54.10611,38.21392,8.65416,4.6288
58.28954,40.28588,8.664017,4.6288
58.28954,42.81699,8.664017,4.6288
60.93993,40.71293,8.655392,4.6288
53.49941,43.03188,8.64923,4.6288
52.97348,44.54346,8.65416,4.6288
53.23692,46.29557,8.65416,4.6288
53.01205,43.22297,8.673875,4.6288
52.7848,38.51548,8.659088,4.6288
51.71696,33.64473,8.673875,4.6288
51.46246,30.61881,8.68209,4.6288
49.42506,30.66483,8.673875,4.6288
49.13296,33.46177,8.683733,4.6288
96.86761,35.82708,8.673875,4.6288
98.6924,38.24821,8.698521,4.6288
97.07535,40.04102,8.688663,4.6288
90.07573,44.09066,8.693591,4.6288
84.28774,46.20487,8.683733,4.6288
69.64846,47.64638,8.668946,4.6288
65.44505,46.14492,8.683733,4.6288
48.23778,43.31544,8.688663,4.6288
72.11076,44.08731,8.678804,4.6288
89.89706,46.52128,8.668946,4.6288
101.7212,49.16946,8.665661,4.6288
109.1951,50.45716,8.664017,4.6288
112.0492,53.27123,8.664017,4.6288
109.0957,54.64296,8.65416,4.6288
100.7583,54.41407,8.64923,4.6288
77.18168,52.58404,8.664017,4.6288
73.48523,52.69512,8.65416,4.6288
57.60047,50.48542,8.64923,4.6288
73.56826,48.73451,8.659088,4.6288
73.84174,43.27387,8.659088,4.6288
70.85703,41.20326,8.644301,4.6288
58.75202,41.28829,8.639372,4.6288
49.70142,42.70008,8.634443,4.6288
56.12205,44.25394,8.639372,4.6288
65.79896,46.03316,8.644301,4.6288
62.70912,47.73733,8.644301,4.6288
57.59286,51.25222,8.639372,4.6288
57.65373,51.12364,8.644301,4.6288
56.89688,52.81112,8.644301,4.6288
56.54329,48.8628,8.64923,4.6288
55.16636,46.09298,8.668946,4.6288
47.32668,45.33735,8.668946,4.6288
47.4837,44.49619,8.664017,4.6288
47.99644,44.67517,8.673875,4.6288
50.8944,41.34141,8.673875,4.6288
51.56978,40.7841,8.688663,4.6288
48.10335,39.40057,8.683733,4.6288
52.22957,39.38588,8.708379,4.6288
50.12832,41.0778,8.703449,4.6288
50.28334,42.30822,8.698521,4.6288
46.47802,44.55168,8.698521,4.6288
50.1353,39.84716,8.693591,4.6288
50.12329,32.60699,8.688663,4.6288
59.21359,26.27412,8.75274,4.6288
60.11938,24.94346,8.619656,4.6288
60.18185,26.35128,8.639372,4.6288
62.15073,30.52609,8.59008,4.6288
55.73032,35.35656,8.629514,4.6288
53.52988,39.5509,8.644301,4.6288
48.72255,41.18801,8.64923,4.6288
49.34179,42.61967,8.639372,4.6288
52.26286,44.90021,8.644301,4.6288
51.69122,45.56685,8.64923,4.6288
46.88833,46.54414,8.64923,4.6288
46.15173,47.09632,8.64923,4.6288
53.1935,48.25163,8.64923,4.6288
-9999,49.13483,8.664017,4.6288
48.60508,51.49109,8.64923,4.6288
51.52449,52.12143,8.661552,4.6288
52.52476,51.1554,8.64923,4.6288
50.27217,45.43619,8.644301,4.6288
48.19128,43.18121,8.634443,4.6288
53.47066,40.50475,8.624585,4.6288
52.47905,41.09994,8.618423,4.6288
56.3329,37.93671,8.619656,4.6288
55.93687,37.53321,8.632799,4.6288
54.20765,38.2403,8.639372,4.6288
55.325,38.62896,8.629514,4.6288
56.3688,40.58673,8.634443,4.6288
53.85433,39.87072,8.639372,4.6288
53.3732,40.71333,8.624585,4.6288
53.57572,39.81104,8.634443,4.6288
54.14939,43.23998,8.629514,4.6288
51.28184,44.66589,8.624585,4.6288
55.41742,46.60614,8.619656,4.6288
54.88768,43.3605,8.618423,4.6288
50.95343,43.34827,8.624585,4.6288
52.98616,41.86351,8.624585,4.6288
47.30266,42.56332,8.634443,4.6288
45.40645,43.76541,8.64923,4.6288
113.0936,45.35606,8.634443,4.6288
104.8394,48.25323,8.64923,4.6288
96.41825,48.51942,8.664017,4.6288
82.62273,45.56964,8.678804,4.6288
76.0656,44.26922,8.683733,4.6288
74.88568,41.72381,8.683733,4.6288
79.84064,43.79757,8.673875,4.6288
86.09174,43.69682,8.677983,4.6288
87.78635,45.3323,8.659088,4.6288
84.52051,44.15567,8.668946,4.6288
75.22503,43.45898,8.664017,4.6288
72.08398,42.98491,8.65416,4.6288
69.35027,42.45458,8.668946,4.6288
69.62751,42.32726,8.64923,4.6288
52.37143,42.48236,8.664017,4.6288
51.75348,44.6239,8.65416,4.6288
50.73764,45.16206,8.65416,4.6288
52.62777,44.78436,8.65416,4.6288
53.88683,43.90177,8.64923,4.6288
54.06979,45.26656,8.65416,4.6288
81.13245,48.07991,8.64923,4.6288
82.8059,48.37404,8.64923,4.6288
76.55962,47.2544,8.668946,4.6288
72.47297,44.39753,8.664017,4.6288
71.2351,43.40374,8.664017,4.6288
71.21722,40.50653,8.657445,4.6288
72.86423,39.92062,8.659088,4.6288
72.08349,40.74427,8.65416,4.6288
70.23759,42.17155,8.639372,4.6288
69.99744,43.34786,8.624585,4.6288
70.78429,42.46613,8.639372,4.6288
70.89416,41.24831,8.630746,4.6288
73.77665,40.59284,8.619656,4.6288
75.73907,40.57438,8.619656,4.6288
73.93217,42.15851,8.604868,4.6288
75.1741,45.07969,8.604868,4.6288
75.69965,48.62749,8.599938,4.6288
80.79198,48.59501,8.604868,4.6288
88.41319,43.49844,8.59008,4.6288
97.22403,38.44547,8.575294,4.6288
97.94903,37.5933,8.609797,4.292125
86.23371,38.36259,8.59501,3.408408
74.21521,41.594,8.619656,2.519203
76.18129,39.46481,8.629514,1.96248
78.43206,40.396,8.64923,1.956065
75.6046,38.63358,8.668946,2.254286
67.61918,43.85704,8.668946,3.147684
64.23407,47.76403,8.64923,4.037816
62.39213,50.85989,8.661552,4.6288
64.28112,53.01951,8.65416,4.6288
72.31009,52.45205,8.65416,4.6288
77.54435,52.92445,8.64923,4.6288
80.43213,49.12793,8.64923,4.6288
73.35355,51.24979,8.64923,4.6288
69.27829,50.56538,8.634443,4.6288
72.42013,51.61333,8.629514,4.6288
80.19465,49.0454,8.639372,4.6288
87.7169,48.28511,8.629514,4.6288
93.2034,47.53972,8.644301,4.6288
93.48682,44.29157,8.624585,4.6288
96.61877,43.8097,8.624585,4.6288
100.9012,43.0305,8.619656,4.6288
99.95174,45.14156,8.624585,4.6288
-9999,46.00737,8.609797,4.6288
78.28905,48.6852,8.624585,4.6288
70.98654,50.69107,8.619656,4.6288
67.27027,51.31851,8.630746,4.6288
64.57472,51.08921,8.630746,4.6288
69.76165,49.80066,8.624585,4.6288
69.16239,50.18289,8.604868,4.6288
63.81564,50.25304,8.599938,4.6288
73.24844,50.46239,8.59501,4.6288
77.60365,50.09238,8.59501,4.6288
76.96787,50.15154,8.599938,4.6288
70.77631,47.79886,8.59501,4.6288
82.16558,47.17408,8.59501,4.6288
93.83017,44.27367,8.580222,4.6288
96.849,44.51819,8.59501,4.6288
96.90512,42.51445,8.59008,4.6288
94.35245,42.15232,8.604868,4.6288
91.36449,42.30019,8.604868,4.6288
86.78974,44.06373,8.619656,4.6288
81.47217,45.83925,8.614726,4.58253
78.98695,46.52453,8.624585,4.285505
79.37165,45.76847,8.619656,4.285505
76.99085,43.97812,8.629514,4.331775
74.70808,42.74424,8.630746,4.6288
70.19614,41.87405,8.624585,4.6288
59.90936,43.38561,8.629514,4.6288
53.40203,46.39917,8.630746,4.6288
52.10391,49.6362,8.624585,4.6288
50.74739,53.76124,8.634442,4.6288
49.96784,57.4281,8.619656,4.6288
49.41285,57.00837,8.634443,4.6288
50.43621,54.99647,8.624585,4.6288
58.25774,51.62286,8.624585,4.6288
-9999,52.37831,8.624585,4.6288
59.54025,52.93766,8.639372,4.6288
57.0811,52.36454,8.629514,4.6288
55.32131,52.01667,8.634443,4.6288
54.5862,48.11391,8.644301,4.6288
53.88269,46.55766,8.634443,4.6288
54.22446,41.8206,8.634443,4.6288
55.45145,40.72576,8.639372,4.6288
55.04652,42.01295,8.644301,4.6288
59.34966,45.45452,8.629514,4.6288
56.46721,47.06519,8.629514,4.6288
56.06343,42.34565,8.636908,4.6288
56.27301,39.53617,8.634443,4.6288
55.40452,37.43638,8.64923,4.6288
55.39809,36.65367,8.64923,4.6288
56.16846,33.7561,8.64923,4.6288
58.98739,30.02933,8.636908,4.6288
52.45277,28.13633,8.639372,4.6288
54.06187,27.32332,8.64923,4.6288
56.69885,28.81058,8.639372,4.6288
62.2267,30.43791,8.703449,4.6288
63.25799,32.11663,8.64923,4.6288
59.41188,33.05228,8.644301,4.6288
58.36007,34.36811,8.636908,4.6288
52.84695,34.39824,8.644301,4.6288
55.46171,35.75809,8.644301,4.6288
65.08559,37.52379,8.639372,4.6288
66.85661,39.71954,8.64923,4.6288
61.64443,37.78532,8.634443,4.6288
63.62103,36.42513,8.639372,4.6288
65.93813,35.76559,8.629514,4.6288
-9999,36.04612,8.636908,4.6288
-9999,34.79917,8.618423,4.338538
95.80034,32.07108,8.614726,3.676157
-9999,33.68232,8.618423,2.867604
-9999,38.12531,8.664017,2.285825
-9999,45.33809,8.634442,2.095643
-9999,47.9845,9.004122,2.067876
-9999,47.39258,9.161852,2.086344
-9999,45.20885,9.240718,2.056404
-9999,43.33338,9.388589,1.993932
-9999,43.8947,9.408305,1.954057
-9999,42.73049,9.575893,1.948679
-9999,47.37806,9.739783,1.950725
-9999,47.93709,9.856852,1.920834
-9999,50.01099,9.930786,1.83662
-9999,49.87254,10.07373,1.731774
-9999,49.03496,10.40398,1.669783
-9999,50.83955,10.78351,1.687898
-9999,50.50245,10.94124,1.749439
-9999,48.63968,10.78844,1.794353
-9999,47.43781,10.63071,1.779735
-9999,45.4494,10.98067,1.701648
-9999,46.74897,11.31585,1.606183
-9999,45.43053,11.66582,1.542942
-9999,44.67512,15.4119,1.532509
-9999,45.18328,17.43282,1.542488
-9999,45.29446,21.27749,1.544399
-9999,44.68965,19.24671,1.538065
-9999,45.34455,22.35202,1.524881
-9999,45.51518,23.5391,1.504408
-9999,43.47364,24.25464,1.47518
-9999,42.22867,24.73769,1.48913
-9999,41.90526,24.81655,1.641301
-9999,46.77708,24.81655,1.887805
-9999,50.16669,24.81655,2.016153
-9999,51.22081,23.44627,2.124635
-9999,49.56812,22.11173,2.049752
-9999,47.1156,22.0267,1.996094
-9999,45.20598,22.25837,1.892644
-9999,43.47069,23.89975,1.791583
-9999,44.31318,24.76726,1.726917
-9999,47.28492,24.80176,1.778531
-9999,49.62484,24.81655,1.929054
-9999,49.15985,24.81655,2.075695
-9999,49.74675,21.82215,2.137146
-9999,47.4091,20.94231,2.121129
-9999,46.795,21.74082,2.090176
-9999,43.12651,21.76053,2.030203
-9999,45.33493,23.82581,1.924147
-9999,44.54868,21.18876,1.798529
-9999,44.84425,23.35262,1.70759
-9999,44.53918,23.17025,1.682495
-9999,45.60518,23.08645,1.724524
-9999,47.39438,24.30886,1.828183
-9999,48.49409,22.69295,1.952566
-9999,48.49663,21.96263,1.97049
-9999,47.15475,21.78025,1.834985
-9999,44.5829,19.06434,1.646611
-9999,43.30338,19.72976,1.52752
-9999,42.0705,21.4689,1.505892
116.9514,43.63908,23.45613,1.52219
114.6237,43.88169,24.24971,1.578133
107.0586,46.24743,24.81162,1.667621
100.6946,45.04246,24.50602,1.754633
100.2703,44.15553,21.50998,1.807156
99.84612,41.02213,22.11543,1.8273
100.2703,41.41657,23.24911,1.810741
103.2399,42.21875,24.27435,1.739391
106.6338,45.30651,24.8067,1.694087
107.9064,45.70884,24.79191,1.773929
106.2095,49.14906,23.08152,1.968482
93.67416,51.00132,21.96756,2.176947
89.60065,57.32157,12.54319,2.270857
87.27293,61.54006,11.33557,2.350058
86.69099,68.11324,12.85372,2.336369
88.87163,72.64679,12.57399,2.25067
90.58975,74.39783,12.54319,2.210816
91.277,74.29843,12.99297,2.172893
92.30787,71.18251,13.46985,2.1803
90.58975,71.57809,12.00592,2.191747
90.24612,69.23408,12.50869,2.189674
88.87163,71.5257,13.12482,2.191312
84.06089,71.70689,11.81369,2.206582
79.25015,76.48584,12.15379,2.231155
77.53204,76.68254,12.70092,2.250291
77.18841,76.73395,10.2561,2.25178
74.09579,74.38773,11.74961,2.243821
69.28506,70.54239,11.45879,2.235652
66.87968,71.05328,11.26163,2.22321
66.53606,72.97824,11.65596,2.193543
71.00317,74.94472,11.83833,2.156938
74.78304,70.653,11.90734,2.133895
79.25015,62.43283,11.29449,2.111014
80.28103,59.3,11.92705,2.058403
80.62465,63.5456,13.147,2.036343
79.59378,69.72122,11.01518,2.09767
77.53204,69.70927,11.87284,2.200446
68.25418,65.47879,11.93691,2.25668
64.47432,64.38465,11.3405,2.276299
66.19244,69.29855,12.15872,2.213223
71.46561,70.26478,13.47971,2.150797
82.92167,68.38455,13.25297,2.089835
91.277,62.31815,12.30166,2.052698
94.36961,60.7653,12.20308,2.046969
96.43136,59.89224,12.38053,2.059888
96.43136,63.18139,12.11929,2.087104
94.71324,62.45102,11.26163,2.119984
81.3119,63.95798,11.78411,2.205026
75.47029,63.67861,11.7989,2.237196
68.41452,67.2554,12.03549,2.269367
65.0635,71.59919,12.9868,2.277018
61.45405,70.64869,12.50376,2.284668
54.09052,68.54108,11.79397,2.260462
53.76721,64.05838,15.4119,2.236256
56.3696,59.52062,17.10257,2.174683
63.62735,53.65706,19.53753,2.074554
72.37767,49.34638,18.4786,1.982899
73.40855,49.28737,11.48344,1.95574
72.03405,50.29375,11.7644,2.065189
67.22331,48.34586,13.21847,2.146787
66.53606,46.1164,15.81608,2.18986
